FacilityName,Hours,TAT,Footfalls
Bliss Medical Centre Kabarnet,12am,0.0,0.0
Bliss Medical Centre Kabarnet,1am,0.0,0.0
Bliss Medical Centre Kabarnet,2am,0.0,0.0
Bliss Medical Centre Kabarnet,3am,0.0,0.0
Bliss Medical Centre Kabarnet,4am,0.0,0.0
Bliss Medical Centre Kabarnet,5am,0.0,0.0
Bliss Medical Centre Kabarnet,6am,0.0,0.0
Bliss Medical Centre Kabarnet,7am,0.0,0.0
Bliss Medical Centre Kabarnet,8am,0.0,0.0
Bliss Medical Centre Kabarnet,9am,31.11,36.0
Bliss Medical Centre Kabarnet,10am,36.91,65.0
Bliss Medical Centre Kabarnet,11am,46.96,77.0
Bliss Medical Centre Kabarnet,12pm,47.68,105.0
Bliss Medical Centre Kabarnet,1pm,61.74,111.0
Bliss Medical Centre Kabarnet,2pm,67.15,100.0
Bliss Medical Centre Kabarnet,3pm,59.83,109.0
Bliss Medical Centre Kabarnet,4pm,52.11,106.0
Bliss Medical Centre Kabarnet,5pm,43.64,121.0
Bliss Medical Centre Kabarnet,6pm,41.15,20.0
Bliss Medical Centre Kabarnet,7pm,0.0,0.0
Bliss Medical Centre Kabarnet,8pm,0.0,0.0
Bliss Medical Centre Kabarnet,9pm,0.0,0.0
Bliss Medical Centre Kabarnet,10pm,0.0,0.0
Bliss Medical Centre Kabarnet,11pm,0.0,0.0
Bliss Medical Centre Zion Mall,12am,0.0,0.0
Bliss Medical Centre Zion Mall,1am,0.0,0.0
Bliss Medical Centre Zion Mall,2am,0.0,0.0
Bliss Medical Centre Zion Mall,3am,0.0,0.0
Bliss Medical Centre Zion Mall,4am,0.0,0.0
Bliss Medical Centre Zion Mall,5am,0.0,0.0
Bliss Medical Centre Zion Mall,6am,0.0,0.0
Bliss Medical Centre Zion Mall,7am,0.0,0.0
Bliss Medical Centre Zion Mall,8am,18.89,9.0
Bliss Medical Centre Zion Mall,9am,30.22,46.0
Bliss Medical Centre Zion Mall,10am,38.18,76.0
Bliss Medical Centre Zion Mall,11am,44.7,122.0
Bliss Medical Centre Zion Mall,12pm,52.35,164.0
Bliss Medical Centre Zion Mall,1pm,56.26,152.0
Bliss Medical Centre Zion Mall,2pm,57.14,135.0
Bliss Medical Centre Zion Mall,3pm,63.49,154.0
Bliss Medical Centre Zion Mall,4pm,58.76,140.0
